iter	Passed	Remaining
581	1839	1321
582	1842	1317
583	1844	1313
584	1846	1310
585	1850	1307
586	1853	1303
587	1855	1300
588	1858	1296
589	1860	1292
590	1863	1289
591	1866	1286
592	1869	1282
593	1871	1279
594	1873	1275
595	1875	1271
596	1877	1267
597	1882	1265
598	1885	1262
599	1887	1258
600	1890	1255
601	1892	1251
602	1895	1247
603	1898	1244
604	1901	1241
605	1903	1237
606	1905	1233
607	1907	1229
608	1909	1226
609	1913	1223
610	1915	1219
611	1917	1215
612	1919	1212
613	1922	1208
614	1924	1204
615	1926	1201
616	1929	1197
617	1931	1194
618	1933	1190
619	1936	1186
620	1938	1182
621	1940	1179
622	1942	1175
623	1945	1172
624	1947	1168
625	1950	1165
626	1952	1161
627	1955	1158
628	1957	1154
629	1960	1151
630	1963	1148
631	1966	1145
632	1969	1141
633	1972	1138
634	1974	1135
635	1977	1131
636	1980	1128
637	1982	1124
638	1984	1121
639	1987	1117
640	1989	1114
641	1993	1111
642	1995	1108
643	1997	1104
644	2000	1100
645	2002	1097
646	2004	1093
647	2008	1091
648	2011	1087
649	2013	1084
650	2015	1080
651	2018	1077
652	2020	1073
653	2023	1070
654	2026	1067
655	2029	1064
656	2031	1060
657	2033	1057
658	2036	1053
659	2038	1050
660	2042	1047
661	2044	1043
662	2046	1040
663	2048	1036
664	2051	1033
665	2053	1029
666	2057	1027
667	2059	1023
668	2062	1020
669	2064	1016
670	2066	1013
671	2069	1009
672	2072	1007
673	2075	1003
674	2077	1000
675	2080	997
676	2082	993
677	2084	990
678	2088	987
679	2091	984
680	2093	980
681	2095	977
682	2098	973
683	2100	970
684	2105	968
685	2107	964
686	2109	961
687	2112	957
688	2114	954
689	2116	950
690	2120	948
691	2123	944
692	2125	941
693	2127	938
694	2129	934
695	2132	931
696	2135	928
697	2138	925
698	2140	921
699	2143	918
700	2145	915
701	2147	911
702	2151	908
703	2154	905
704	2156	902
705	2158	898
706	2161	895
707	2163	892
708	2165	888
709	2169	885
710	2171	882
711	2173	879
712	2176	875
713	2178	872
714	2180	869
715	2184	866
716	2186	862
717	2188	859
718	2190	856
719	2193	852
720	2195	849
721	2199	846
722	2201	843
723	2204	840
724	2206	836
725	2208	833
726	2210	830
727	2214	827
728	2216	824
729	2218	820
730	2221	817
731	2223	814
732	2225	810
733	2228	807
734	2231	804
735	2234	801
736	2236	798
737	2238	794
738	2241	791
739	2243	788
740	2246	785
741	2249	782
742	2251	778
743	2254	775
744	2256	772
745	2258	769
746	2261	765
747	2264	762
748	2266	759
749	2268	756
750	2271	753
751	2273	749
752	2276	746
753	2279	743
754	2281	740
755	2284	737
756	2286	733
757	2288	730
758	2291	727
759	2295	724
760	2297	721
761	2300	718
762	2302	715
763	2304	711
764	2307	708
765	2310	705
766	2313	702
767	2315	699
768	2317	696
769	2320	693
770	2322	689
771	2325	686
772	2328	683
773	2330	680
774	2333	677
775	2335	674
776	2338	671
777	2341	668
778	2344	665
779	2346	661
780	2349	658
781	2351	655
782	2354	652
783	2360	650
784	2362	647
785	2365	643
786	2367	640
787	2369	637
788	2372	634
789	2375	631
790	2377	628
791	2379	624
792	2381	621
793	2384	618
794	2386	615
795	2390	612
796	2392	609
797	2395	606
798	2397	603
799	2400	600
800	2402	596
801	2406	594
802	2409	591
803	2411	587
804	2413	584
805	2416	581
806	2418	578
807	2421	575
808	2424	572
809	2426	569
810	2428	565
811	2430	562
812	2432	559
813	2435	556
814	2438	553
815	2441	550
816	2443	547
817	2445	544
818	2447	540
819	2449	537
820	2452	534
821	2456	531
822	2458	528
823	2461	525
824	2463	522
825	2465	519
826	2468	516
827	2471	513
828	2473	510
829	2475	507
830	2478	503
831	2480	500
832	2482	497
833	2486	494
834	2488	491
835	2491	488
836	2493	485
837	2495	482
838	2498	479
839	2501	476
840	2504	473
841	2506	470
842	2508	467
843	2511	464
844	2513	460
845	2518	458
846	2520	455
847	2522	452
848	2525	449
849	2527	446
850	2529	442
851	2533	440
852	2535	437
853	2538	433
854	2540	430
855	2542	427
856	2545	424
857	2547	421
858	2550	418
859	2553	415
860	2555	412
861	2557	409
862	2559	406
863	2561	403
864	2565	400
865	2568	397
866	2570	394
867	2572	391
868	2574	388
869	2576	384
870	2578	381
871	2582	379
872	2584	375
873	2586	372
874	2589	369
875	2591	366
876	2594	363
877	2597	360
878	2599	357
879	2602	354
880	2604	351
881	2607	348
882	2609	345
883	2613	342
884	2616	339
885	2618	336
886	2620	333
887	2623	330
888	2627	328
889	2630	325
890	2633	322
891	2635	319
892	2637	316
893	2640	313
894	2643	310
895	2646	307
896	2648	304
897	2651	301
898	2653	298
899	2656	295
900	2658	292
901	2663	289
902	2665	286
903	2668	283
904	2670	280
905	2673	277
906	2676	274
907	2679	271
908	2681	268
909	2684	265
910	2686	262
911	2689	259
912	2692	256
913	2695	253
914	2697	250
915	2700	247
916	2702	244
917	2705	241
918	2709	238
919	2712	235
920	2714	232
921	2716	229
922	2719	226
923	2721	223
924	2725	220
925	2727	217
926	2730	214
927	2732	211
928	2734	209
929	2737	206
930	2740	203
931	2744	200
932	2749	197
933	2752	194
934	2756	191
935	2759	188
936	2761	185
937	2764	182
938	2766	179
939	2769	176
940	2772	173
941	2776	170
942	2778	167
943	2781	164
944	2783	162
945	2786	159
946	2789	156
947	2792	153
948	2794	150
949	2797	147
950	2799	144
951	2802	141
952	2805	138
953	2808	135
954	2810	132
955	2812	129
956	2815	126
957	2818	123
958	2821	120
959	2824	117
960	2826	114
961	2829	111
962	2831	108
963	2834	105
964	2837	102
965	2840	99
966	2842	97
967	2845	94
968	2848	91
969	2851	88
970	2854	85
971	2856	82
972	2859	79
973	2862	76
974	2864	73
975	2868	70
976	2870	67
977	2873	64
978	2876	61
979	2878	58
980	2880	55
981	2884	52
982	2886	49
983	2888	46
984	2890	44
985	2893	41
986	2895	38
987	2899	35
988	2901	32
989	2904	29
990	2907	26
991	2909	23
992	2911	20
993	2915	17
994	2918	14
995	2920	11
996	2923	8
997	2925	5
998	2927	2
999	2931	0
